Region,State,Location,manufacturer,car_model,car_option,Year,Price,New_Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_unit,Power_unit
South,Maharashtra,Pune,Mercedes-Benz,M-Class,ML 350 CDI,2013,42922.88,,85000,Diesel,Automatic,First,9.979,2987 CC,254.8,5.0,kmpl,
South,Tamil Nadu,Chennai,Volkswagen,Polo,Diesel Trendline 1.2L,2013,7664.8,,62000,Diesel,Manual,First,18.7595,1199 CC,73.9,5.0,kmpl,
North,Delhi,Delhi,Maruti,Alto,LXi,2008,1916.2,,90000,Petrol,Manual,Second,14.775,796 CC,46.3,5.0,kmpl,
South,Kerala,Kochi,Tata,Nano,LX SE,2014,2345.43,,19698,Petrol,Manual,First,19.05,624 CC,37.5,4.0,kmpl,
South,Tamil Nadu,Coimbatore,Mahindra,KUV,100 mFALCON D75 K8 Dual Tone,2017,8553.92,,22033,Diesel,Manual,First,21.522,1198 CC,77.0,6.0,kmpl,
South,Kerala,Kochi,Hyundai,i20,Magna Optional 1.2,2014,7266.23,,35487,Petrol,Manual,First,13.875,1197 CC,82.9,5.0,kmpl,
South,Karnataka,Bangalore,Hyundai,Elantra,2.0 SX Option AT,2014,13566.7,23.64 Lakh,46374,Petrol,Automatic,First,10.965,1999 CC,149.92,5.0,kmpl,
South,Maharashtra,Mumbai,Toyota,Corolla,Altis G AT,2016,15498.23,,52001,Petrol,Automatic,First,10.71,1798 CC,138.03,5.0,kmpl,
North,Gujarat,Ahmedabad,Hyundai,Elantra,CRDi,2008,6515.08,,58005,Diesel,Manual,Second,12.665,1991 CC,112.2,5.0,kmpl,
South,Karnataka,Bangalore,Toyota,Innova,Crysta 2.7 GX MT,2012,16785.91,18.64 Lakh,70704,Petrol,Manual,First,8.4375,2694 CC,163.7,7.0,kmpl,
North,Rajasthan,Jaipur,Hyundai,Xcent,1.1 CRDi S,2014,5901.9,,75000,Diesel,Manual,First,20.74,1120 CC,71.0,5.0,kmpl,
North,Rajasthan,Jaipur,Mahindra,Thar,CRDe AC,2012,8431.28,,75800,Diesel,Manual,Second,14.0675,2498 CC,105.0,6.0,kmpl,
South,Kerala,Kochi,Audi,A4,2.0 TDI 177 Bhp Premium Plus,2015,32851.33,,13648,Diesel,Automatic,First,14.5435,1968 CC,174.33,5.0,kmpl,
North,Delhi,Delhi,Maruti,Swift,LDI,2014,6515.08,,52000,Diesel,Manual,First,19.465,1248 CC,74.0,5.0,kmpl,
North,West Bengal,Kolkata,Maruti,Swift,Ldi BSIV,2014,5058.77,,53000,Diesel,Manual,First,15.13,1248 CC,75.0,5.0,kmpl,
North,Delhi,Delhi,Maruti,Swift,VDI,2013,5901.9,,65650,Diesel,Manual,First,24.14,1248 CC,74.0,5.0,kmpl,
South,Tamil Nadu,Chennai,Hyundai,Grand,i10 Sportz,2015,5518.66,,54000,Petrol,Manual,Third,14.175,1197 CC,82.0,5.0,kmpl,
North,West Bengal,Kolkata,Volkswagen,Vento,2013-2015 1.6 Comfortline,2015,6116.51,,39000,Petrol,Manual,First,11.28,1598 CC,103.2,5.0,kmpl,
South,Kerala,Kochi,Renault,KWID,RXT,2017,5058.77,,16542,Petrol,Manual,First,18.8775,799 CC,53.3,5.0,kmpl,
North,West Bengal,Kolkata,Hyundai,i10,Asta,2010,3173.23,,32000,Petrol,Manual,First,15.27,1197 CC,78.9,5.0,kmpl,
South,Telangana,Hyderabad,Nissan,X-Trail,SLX AT,2010,11880.44,,121812,Diesel,Automatic,First,11.296499999999998,1995 CC,147.6,5.0,kmpl,
South,Telangana,Hyderabad,Maruti,Zen,Estilo VXI BSIII,2010,3449.16,,39300,Petrol,Manual,First,13.65,998 CC,67.1,5.0,kmpl,
South,Maharashtra,Mumbai,Toyota,Innova,Crysta 2.4 GX MT 8S,2017,25293.84,19.34 Lakh,22000,Diesel,Manual,First,11.628,2393 CC,147.8,8.0,kmpl,
South,Karnataka,Bangalore,Ford,Figo,Diesel Titanium,2010,4215.64,,72000,Diesel,Manual,First,17.0,1399 CC,68.0,5.0,kmpl,
North,Delhi,Delhi,Mercedes-Benz,New,C-Class C 200 CGI Avantgarde,2015,40930.03,,58000,Petrol,Automatic,First,8.805,1796 CC,186.0,5.0,kmpl,
South,Maharashtra,Pune,Mercedes-Benz,New,C-Class 200 CDI Classic,2011,15329.6,,65000,Diesel,Manual,Second,13.43,2148 CC,170.0,5.0,kmpl,
South,Tamil Nadu,Chennai,Tata,Indica,V2 eLS,2016,3832.4,,178000,Diesel,Manual,First,21.25,1396 CC,69.0,5.0,kmpl,
North,Rajasthan,Jaipur,Audi,A4,2.0 TDI Multitronic,2012,20694.96,,65664,Diesel,Automatic,First,14.0675,1968 CC,140.0,5.0,kmpl,
South,Maharashtra,Mumbai,Honda,City,ZX CVT,2007,2835.98,,63000,Petrol,Automatic,Second,12.3,1497 CC,78.0,5.0,kmpl,
South,Maharashtra,Pune,Maruti,Ertiga,SHVS VDI,2016,12493.62,,63000,Diesel,Manual,First,20.842,1248 CC,88.5,7.0,kmpl,
South,Maharashtra,Mumbai,Hyundai,Creta,1.4 E Plus Diesel,2018,16096.08,11.81 Lakh,13000,Diesel,Manual,First,18.785,1396 CC,88.7,5.0,kmpl,
South,Maharashtra,Mumbai,Porsche,Cayenne,2009-2014 Turbo,2008,22227.92,,73000,Petrol,Automatic,First,6.375,4806 CC,500.0,5.0,kmpl,
South,Maharashtra,Mumbai,Mahindra,XUV500,W8 4WD,2015,14793.06,,55729,Diesel,Manual,First,12.835,2179 CC,140.0,7.0,kmpl,
South,Kerala,Kochi,Hyundai,i10,Sportz 1.2 AT,2012,5334.7,,45178,Petrol,Automatic,First,12.7125,1197 CC,78.9,5.0,kmpl,
South,Kerala,Kochi,Nissan,Terrano,XV D Pre,2015,10608.08,16.65 Lakh,56066,Diesel,Manual,First,16.694,1461 CC,108.5,5.0,kmpl,
South,Tamil Nadu,Coimbatore,Honda,Brio,VX AT,2016,9902.92,,37300,Petrol,Automatic,Second,12.375,1198 CC,86.8,5.0,kmpl,
North,Delhi,Delhi,Audi,A6,2.0 TDI Design Edition,2014,45222.32,,56000,Diesel,Automatic,Second,15.7505,1968 CC,187.74,5.0,kmpl,
North,Rajasthan,Jaipur,Ford,Fiesta,1.4 SXi TDCi,2008,3065.92,,111111,Diesel,Manual,First,15.13,1399 CC,74.27,5.0,kmpl,bhp
South,Tamil Nadu,Chennai,Toyota,Innova,2.0 G1,2006,6898.32,,230000,Petrol,Manual,Third,9.3,1998 CC,132.0,8.0,kmpl,
South,Telangana,Hyderabad,Toyota,Innova,2.5 VX 7 STR BSIV,2012,18012.28,,104000,Diesel,Manual,First,10.88,2494 CC,102.0,7.0,kmpl,
North,Rajasthan,Jaipur,Maruti,Swift,VDI,2012,5748.6,,95100,Diesel,Manual,First,19.465,1248 CC,74.0,5.0,kmpl,
South,Maharashtra,Pune,Tata,Zest,Revotron 1.2T XE,2017,6898.32,6.67 Lakh,70000,Petrol,Manual,First,13.1775,1193 CC,88.7,5.0,kmpl,
South,Kerala,Kochi,Honda,Amaze,SX i-VTEC,2016,7388.87,,54944,Petrol,Manual,First,13.5,1198 CC,86.7,5.0,kmpl,
South,Telangana,Hyderabad,Ford,Figo,Diesel ZXI,2012,4292.29,,70337,Diesel,Manual,First,17.0,1399 CC,68.0,5.0,kmpl,
North,Rajasthan,Jaipur,Maruti,Ritz,VDi,2013,4767.51,,99638,Diesel,Manual,First,19.72,1248 CC,73.94,5.0,kmpl,
North,Delhi,Delhi,Honda,City,i VTEC E,2009,4982.12,,52000,Petrol,Manual,First,13.35,1497 CC,117.3,5.0,kmpl,
North,Delhi,Delhi,BMW,5,Series 2003-2012 525d,2011,21308.14,,75000,Diesel,Automatic,Second,14.2205,1995 CC,218.0,5.0,kmpl,
South,Maharashtra,Pune,Hyundai,i10,Sportz 1.2,2009,3449.16,,95980,Petrol,Manual,First,15.27,1197 CC,78.9,5.0,kmpl,
South,Karnataka,Bangalore,Hyundai,Grand,i10 Sportz,2016,8814.52,,16000,Petrol,Manual,First,14.175,1197 CC,82.0,5.0,kmpl,
South,Telangana,Hyderabad,Hyundai,Santro,Xing XO,2007,3219.22,,73745,Petrol,Manual,First,12.75,1086 CC,62.37,5.0,kmpl,bhp
South,Maharashtra,Mumbai,Honda,Amaze,SX i-VTEC,2016,7664.8,,18949,Petrol,Manual,First,13.35,1198 CC,86.7,5.0,kmpl,
North,Delhi,Delhi,Toyota,Fortuner,4x2 Manual,2014,25293.84,,107000,Diesel,Manual,First,11.05,2982 CC,168.5,7.0,kmpl,
South,Tamil Nadu,Coimbatore,Audi,A6,2011-2015 35 TDI Premium,2018,60674.56,,48367,Diesel,Automatic,First,15.028,1968 CC,174.33,5.0,kmpl,
North,Delhi,Delhi,Ford,Ecosport,1.5 DV5 MT Titanium Optional,2013,8431.28,,57000,Diesel,Manual,First,19.295,1498 CC,89.84,5.0,kmpl,
North,Delhi,Delhi,Mahindra,XUV500,W8 2WD,2014,12416.98,,58000,Diesel,Manual,First,12.835,2179 CC,140.0,7.0,kmpl,
North,West Bengal,Kolkata,Honda,Amaze,SX i-DTEC,2015,5365.36,,30000,Diesel,Manual,First,21.93,1498 CC,98.6,5.0,kmpl,
North,West Bengal,Kolkata,Volkswagen,Polo,Diesel Highline 1.2L,2013,4276.96,,34212,Diesel,Manual,First,18.7595,1199 CC,73.9,5.0,kmpl,
North,Gujarat,Ahmedabad,Hyundai,Verna,Transform SX VGT CRDi,2010,5288.71,,70002,Diesel,Manual,First,13.77,1493 CC,110.0,5.0,kmpl,
South,Karnataka,Bangalore,Maruti,Wagon,R VXI BS IV,2016,6821.67,,62000,Petrol,Manual,First,14.175,998 CC,67.1,5.0,kmpl,
North,Delhi,Delhi,Volkswagen,Polo,Petrol Highline 1.6L,2010,4062.34,,62001,Petrol,Manual,First,11.445,1598 CC,103.5,5.0,kmpl,
South,Maharashtra,Pune,Hyundai,i20,1.4 CRDi Sportz,2011,5825.25,,78958,Diesel,Manual,Second,19.55,1396 CC,90.0,5.0,kmpl,
South,Maharashtra,Mumbai,Hyundai,i20,Asta 1.2,2014,7128.26,,30180,Petrol,Manual,First,13.875,1197 CC,82.85,5.0,kmpl,
South,Maharashtra,Pune,Datsun,GO,Plus T Petrol,2017,6055.19,6.45 Lakh,32851,Petrol,Manual,First,14.8725,1198 CC,67.0,7.0,kmpl,
North,West Bengal,Kolkata,Audi,A4,3.0 TDI Quattro Premium,2010,15023.01,,30000,Diesel,Automatic,First,12.699,2967 CC,241.4,5.0,kmpl,
South,Maharashtra,Pune,Hyundai,i20,2015-2017 Asta,2009,4138.99,,66000,Petrol,Manual,Second,12.75,1197 CC,80.0,5.0,kmpl,
South,Tamil Nadu,Coimbatore,Maruti,Omni,5 Str STD,2010,3694.43,,93850,Petrol,Manual,First,10.5,796 CC,35.0,5.0,kmpl,
North,Gujarat,Ahmedabad,Toyota,Etios,Liva 1.2 G,2014,5978.54,6.41 Lakh,53000,Petrol,Manual,First,13.2825,1197 CC,78.9,5.0,kmpl,
South,Telangana,Hyderabad,Jaguar,XF,3.0 Litre S Premium Luxury,2011,36791.04,,78000,Diesel,Automatic,Second,12.529,2993 CC,270.9,5.0,kmpl,
North,Delhi,Delhi,Mahindra,XUV500,W8 2WD,2012,8814.52,,65000,Diesel,Manual,Second,13.6,2179 CC,140.0,7.0,kmpl,
North,West Bengal,Kolkata,Hyundai,Verna,1.6 SX CRDI (O) AT,2014,8048.04,,40000,Diesel,Automatic,First,18.972,1582 CC,126.32,5.0,kmpl,
South,Maharashtra,Mumbai,Toyota,Innova,Crysta 2.8 ZX AT,2017,29509.48,27 Lakh,30000,Diesel,Automatic,First,9.656,2755 CC,171.5,7.0,kmpl,
South,Tamil Nadu,Coimbatore,Maruti,Eeco,5 Seater AC,2017,5993.87,5.13 Lakh,38053,Petrol,Manual,First,11.325,1196 CC,73.0,5.0,kmpl,
South,Karnataka,Bangalore,Tata,Nano,Twist XT,2014,3295.86,,25500,Petrol,Manual,First,19.05,624 CC,37.5,4.0,kmpl,
South,Maharashtra,Mumbai,BMW,3,Series 320d Luxury Line,2015,31808.92,54.43 Lakh,56087,Diesel,Automatic,First,19.2865,1995 CC,190.0,5.0,kmpl,
North,Delhi,Delhi,Honda,Civic,2006-2010 1.8 V MT,2010,5135.42,,71088,Petrol,Manual,First,10.125,1799 CC,130.0,5.0,kmpl,
North,Gujarat,Ahmedabad,Toyota,Innova,2.5 VX (Diesel) 7 Seater,2014,17031.19,,55000,Diesel,Manual,First,11.0415,2494 CC,100.6,7.0,kmpl,
South,Karnataka,Bangalore,Volvo,V40,Cross Country D3,2014,30659.2,,32700,Diesel,Automatic,First,19.805,1984 CC,150.0,5.0,kmpl,
South,Tamil Nadu,Coimbatore,Nissan,Micra,XV CVT,2016,10040.89,9.51 Lakh,39882,Petrol,Automatic,First,14.3625,1198 CC,75.94,5.0,kmpl,
South,Maharashtra,Mumbai,BMW,5,Series 2010-2013 525i,2009,10730.72,,128000,Petrol,Automatic,First,8.100000000000001,2497 CC,215.0,5.0,kmpl,
South,Maharashtra,Mumbai,Maruti,Vitara,Brezza VDi,2016,11497.2,9.96 Lakh,55000,Diesel,Manual,First,20.655,1248 CC,88.5,5.0,kmpl,
South,Maharashtra,Mumbai,Hyundai,Santro,Xing XL eRLX Euro III,2005,1303.02,,102000,Petrol,Manual,Second,12.75,1086 CC,62.37,5.0,kmpl,bhp
South,Maharashtra,Pune,Mercedes-Benz,B,Class B200 CDI,2014,25677.08,,53753,Diesel,Automatic,Second,12.75,2143 CC,107.3,5.0,kmpl,
North,West Bengal,Kolkata,Hyundai,Verna,CRDi 1.6 SX Option,2018,16785.91,14.44 Lakh,10250,Diesel,Manual,First,18.7,1582 CC,126.2,5.0,kmpl,
South,Maharashtra,Pune,Maruti,Wagon,R LXI BS IV,2011,3755.75,,43874,Petrol,Manual,First,14.175,998 CC,67.1,5.0,kmpl,
South,Tamil Nadu,Coimbatore,Tata,Nano,XTA,2017,4951.46,,32684,Petrol,Automatic,First,16.424999999999997,624 CC,37.48,4.0,kmpl,
North,West Bengal,Kolkata,Mahindra,Scorpio,VLX,2014,11880.44,,42000,Diesel,Manual,First,10.2425,2179 CC,120.0,8.0,kmpl,
North,West Bengal,Kolkata,Mercedes-Benz,New,C-Class 200 K AT,2009,14333.18,,28352,Petrol,Automatic,First,8.774999999999999,1796 CC,178.0,5.0,kmpl,
South,Maharashtra,Pune,Maruti,Wagon,R LXI CNG,2013,4982.12,,89900,CNG,Manual,First,37.24,998 CC,58.16,5.0,kmpl,
South,Karnataka,Bangalore,Honda,CR-V,2.4 MT,2007,8048.04,,47700,Petrol,Manual,Second,8.100000000000001,2354 CC,152.0,5.0,kmpl,
South,Maharashtra,Pune,Volkswagen,Vento,1.5 TDI Comfortline AT,2015,11113.96,,55000,Diesel,Automatic,First,18.0285,1498 CC,103.2,5.0,kmpl,
South,Kerala,Kochi,Maruti,Ciaz,VXi Plus,2017,11451.21,,44285,Petrol,Manual,First,15.5475,1373 CC,91.1,5.0,kmpl,
North,Rajasthan,Jaipur,Mahindra,XUV500,AT W10 FWD,2016,20311.72,,54000,Diesel,Automatic,First,13.6,2179 CC,140.0,7.0,kmpl,
South,Tamil Nadu,Coimbatore,Maruti,Ritz,VXI ABS,2016,8906.5,,30232,Petrol,Manual,First,15.825,1197 CC,85.8,5.0,kmpl,
South,Telangana,Hyderabad,Maruti,Alto,K10 VXI,2014,3985.7,4.53 Lakh,88500,Petrol,Manual,First,18.0525,998 CC,67.1,5.0,kmpl,
North,West Bengal,Kolkata,Mercedes-Benz,SLC,43 AMG,2017,82779.84,95.04 Lakh,13372,Petrol,Automatic,First,14.25,2996 CC,362.07,2.0,kmpl,
South,Kerala,Kochi,Hyundai,Verna,VTVT 1.6 AT SX Plus,2019,17629.04,13.49 Lakh,12645,Petrol,Automatic,First,12.75,1591 CC,121.3,5.0,kmpl,
South,Tamil Nadu,Chennai,Maruti,Alto,LXi BSIII,2010,2452.74,,94385,Petrol,Manual,Second,14.775,796 CC,46.3,5.0,kmpl,
South,Tamil Nadu,Coimbatore,BMW,1,Series 118d Base,2015,26397.57,,31821,Diesel,Automatic,First,17.493,1995 CC,143.0,5.0,kmpl,
South,Maharashtra,Mumbai,Honda,Jazz,1.2 V CVT i VTEC,2015,9197.76,,12000,Petrol,Automatic,First,14.25,1199 CC,88.7,5.0,kmpl,
North,Delhi,Delhi,Honda,Civic,2006-2010 1.8 V MT,2012,6055.19,,88578,Petrol,Manual,First,10.125,1799 CC,130.0,5.0,kmpl,
South,Kerala,Kochi,Mercedes-Benz,New,C-Class C 220 CDI Avantgarde,2014,27516.63,,44965,Diesel,Automatic,First,16.3795,2143 CC,170.0,5.0,kmpl,
North,West Bengal,Kolkata,Honda,Amaze,SX i-DTEC,2014,5671.95,,45044,Diesel,Manual,First,21.93,1498 CC,98.6,5.0,kmpl,
South,Kerala,Kochi,Maruti,Swift,VVT VXI,2016,8323.97,,34204,Petrol,Manual,First,16.5,1197 CC,81.8,5.0,kmpl,
South,Kerala,Kochi,Hyundai,Santro,Xing XO eRLX Euro II,2008,2560.04,,80759,Petrol,Manual,Third,12.75,1086 CC,62.37,5.0,kmpl,bhp
South,Tamil Nadu,Coimbatore,Toyota,Fortuner,3.0 Diesel,2012,20679.63,,91235,Diesel,Manual,First,9.775,2982 CC,171.0,7.0,kmpl,
South,Maharashtra,Pune,Chevrolet,Beat,LT Option,2014,4368.94,,38800,Petrol,Manual,First,13.95,1199 CC,76.8,5.0,kmpl,
South,Tamil Nadu,Chennai,Skoda,Rapid,1.5 TDI Elegance,2013,7281.56,,83000,Diesel,Manual,First,17.969,1498 CC,103.52,5.0,kmpl,
South,Kerala,Kochi,Maruti,Ciaz,1.4 Alpha,2018,15176.3,,41283,Petrol,Manual,First,15.5475,1373 CC,91.1,5.0,kmpl,
South,Maharashtra,Mumbai,Audi,RS5,Coupe,2013,56719.52,1.28 Cr,23000,Petrol,Automatic,First,8.287500000000001,2894 CC,444.0,4.0,kmpl,
South,Maharashtra,Mumbai,BMW,3,Series Luxury Line,2014,40623.44,60.88 Lakh,48000,Diesel,Automatic,First,18.496,1995 CC,190.0,5.0,kmpl,
South,Tamil Nadu,Coimbatore,Audi,A4,2.0 TDI 177 Bhp Premium Plus,2015,35748.63,,48214,Diesel,Automatic,First,14.5435,1968 CC,174.33,5.0,kmpl,
South,Tamil Nadu,Chennai,Maruti,Swift,VDI,2016,9581.0,,35000,Diesel,Manual,First,19.465,1248 CC,74.0,5.0,kmpl,
North,West Bengal,Kolkata,Mercedes-Benz,S,Class 2005 2013 S 500,2010,45988.8,,35277,Petrol,Automatic,First,5.8575,5461 CC,362.9,5.0,kmpl,
South,Tamil Nadu,Coimbatore,Skoda,Rapid,1.5 TDI AT Elegance Plus Black Package,2016,15114.99,,54620,Diesel,Automatic,First,18.411,1498 CC,103.52,5.0,kmpl,
South,Maharashtra,Pune,Skoda,Superb,Elegance 2.0 TDI CR AT,2012,13030.16,,136997,Diesel,Automatic,First,14.62,1968 CC,138.1,5.0,kmpl,
South,Kerala,Kochi,Hyundai,EON,Magna Plus,2019,6484.42,,14322,Petrol,Manual,First,15.825,814 CC,55.2,5.0,kmpl,
North,Rajasthan,Jaipur,Volkswagen,Polo,Diesel Trendline 1.2L,2012,5365.36,,65634,Diesel,Manual,First,18.7595,1199 CC,73.9,5.0,kmpl,
North,West Bengal,Kolkata,Datsun,GO,NXT,2016,3832.4,,6000,Petrol,Manual,First,15.4725,1198 CC,67.06,5.0,kmpl,
North,West Bengal,Kolkata,Honda,Brio,S MT,2013,3663.77,,33280,Petrol,Manual,First,14.55,1198 CC,86.8,5.0,kmpl,
North,Delhi,Delhi,Mercedes-Benz,B,Class B180,2013,17245.8,,29000,Petrol,Automatic,First,11.1,1595 CC,120.7,5.0,kmpl,
South,Kerala,Kochi,Honda,City,i DTEC V,2015,10899.35,,42831,Diesel,Manual,First,22.1,1498 CC,98.6,5.0,kmpl,
North,Gujarat,Ahmedabad,Toyota,Innova,2.5 G (Diesel) 7 Seater,2016,16709.26,,90000,Diesel,Manual,First,11.0415,2494 CC,100.6,7.0,kmpl,
North,Gujarat,Ahmedabad,Maruti,Swift,VXI Optional,2017,9504.35,,24005,Petrol,Manual,First,15.3,1197 CC,81.8,5.0,kmpl,
South,Maharashtra,Mumbai,Mahindra,XUV500,W8 2WD,2012,12110.38,,32792,Diesel,Manual,First,12.835,2179 CC,140.0,7.0,kmpl,
South,Kerala,Kochi,Ford,Ecosport,1.5 DV5 MT Ambiente,2014,6775.68,,147898,Diesel,Manual,First,19.295,1498 CC,89.84,5.0,kmpl,
South,Maharashtra,Mumbai,Toyota,Fortuner,4x2 Manual,2012,20694.96,,131765,Diesel,Manual,First,11.05,2982 CC,168.5,7.0,kmpl,
South,Tamil Nadu,Chennai,Volkswagen,Vento,1.5 Highline Plus AT 16 Alloy,2013,9581.0,,65000,Diesel,Automatic,First,18.275,1498 CC,108.5,5.0,kmpl,
North,Rajasthan,Jaipur,Ford,Figo,Diesel Titanium,2010,3219.22,,66123,Diesel,Manual,Second,17.0,1399 CC,68.0,5.0,kmpl,
South,Maharashtra,Mumbai,BMW,X5,xDrive 30d,2015,68983.2,,41000,Diesel,Automatic,First,13.005,2993 CC,258.0,5.0,kmpl,
